2019-01-22 23:27:21 status unpacked libedit2:amd64 3.1-20160903-3
2019-01-22 23:27:21 install libicu57:amd64 <none> 57.1-6+deb9u2
2019-01-22 23:27:21 status half-installed libicu57:amd64 57.1-6+deb9u2
2019-01-22 23:27:22 status unpacked libicu57:amd64 57.1-6+deb9u2
2019-01-22 23:27:22 status unpacked libicu57:amd64 57.1-6+deb9u2
2019-01-22 23:27:22 install libxml2:amd64 <none> 2.9.4+dfsg1-2.2+deb9u2
2019-01-22 23:27:22 status half-installed libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-01-22 23:27:22 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-01-22 23:27:22 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-01-22 23:27:22 install ucf:all <none> 3.0036
2019-01-22 23:27:22 status half-installed ucf:all 3.0036
2019-01-22 23:27:22 status unpacked ucf:all 3.0036
2019-01-22 23:27:22 status unpacked ucf:all 3.0036
2019-01-22 23:27:22 install fonts-dejavu-core:all <none> 2.37-1
2019-01-22 23:27:22 status half-installed fonts-dejavu-core:all 2.37-1
2019-01-22 23:27:22 status unpacked fonts-dejavu-core:all 2.37-1
2019-01-22 23:27:22 status unpacked fonts-dejavu-core:all 2.37-1
2019-01-22 23:27:22 install fontconfig-config:all <none> 2.11.0-6.7
2019-01-22 23:27:22 status half-installed fontconfig-config:all 2.11.0-6.7
2019-01-22 23:27:22 status unpacked fontconfig-config:all 2.11.0-6.7
2019-01-22 23:27:22 status unpacked fontconfig-config:all 2.11.0-6.7
2019-01-22 23:27:22 install libexpat1:amd64 <none> 2.2.0-2+deb9u1
2019-01-22 23:27:22 status half-installed libexpat1:amd64 2.2.0-2+deb9u1
2019-01-22 23:27:22 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2019-01-22 23:27:22 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2019-01-22 23:27:22 install libpng16-16:amd64 <none> 1.6.28-1
2019-01-22 23:27:22 status half-installed libpng16-16:amd64 1.6.28-1
